Datum,Bezirk,Einwohner,Hundekotsackerlspender,Hunde,Hundeparks
01.05.2010,2. Leopoldstadt,103233,814,1277,1
01.05.2010,3. Landstraße,90277,752,1381,1
01.05.2010,4. Wieden,33179,154,1516,1
01.05.2010,5. Margareten,54546,253,1996,1
01.05.2010,6. Mariahilf,31342,198,363,1
01.05.2010,7. Neubau,31621,169,1442,1
01.05.2010,8. Josefstadt,25513,230,1271,1
01.05.2010,9. Alsergrund,41316,335,702,1
01.05.2010,10. Favoriten,204279,396,5448,1
01.05.2010,11. Simmering,106889,531,4825,1
01.05.2010,12. Meidling,97600,559,3868,1
01.05.2010,13. Hietzing,56763,298,2791,1
01.05.2010,14. Penzing,94605,729,2913,1
01.05.2010,15. Rudolfsheim-Fuenfhaus,76707,616,1742,1
01.05.2010,16. Ottakring,104627,143,1306,1
01.05.2010,17. Hernals,57171,82,2701,1
01.05.2010,18. Waehring,52746,149,2382,1
01.05.2010,19. Doebling,72891,422,1014,1
01.05.2010,20. Brigittenau,87216,542,2558,1
01.05.2010,21. Floridsdorf,166709,943,2008,2
01.05.2010,22. Donaustadt,191119,219,5994,3
01.06.2010,1. Innere Stadt,16465,19,420,1
01.06.2010,2. Leopoldstadt,103233,335,1465,1
01.06.2010,3. Landstraße,90277,378,3930,1
01.06.2010,4. Wieden,33179,213,1627,1
01.06.2010,5. Margareten,54546,334,1270,1
01.06.2010,6. Mariahilf,31342,217,1457,1
01.06.2010,7. Neubau,31621,289,1485,1
01.06.2010,8. Josefstadt,25513,203,993,1
01.06.2010,9. Alsergrund,41316,127,777,1
01.06.2010,10. Favoriten,204279,1421,4829,3
01.06.2010,11. Simmering,106889,564,1317,1
01.06.2010,12. Meidling,97600,737,2399,1
01.06.2010,13. Hietzing,56763,246,1018,1
01.06.2010,14. Penzing,94605,878,1480,1
01.06.2010,15. Rudolfsheim-Fuenfhaus,76707,157,1313,1
01.06.2010,16. Ottakring,104627,630,3235,2
01.06.2010,17. Hernals,57171,268,1819,1
01.06.2010,18. Waehring,52746,420,2222,1
01.06.2010,19. Doebling,72891,634,2386,1
01.06.2010,20. Brigittenau,87216,576,2114,1
01.06.2010,21. Floridsdorf,166709,550,1993,1
01.06.2010,22. Donaustadt,191119,985,4488,2
01.07.2010,1. Innere Stadt,16465,64,812,1
01.07.2010,2. Leopoldstadt,103233,301,2202,2
01.07.2010,3. Landstraße,90277,691,2261,1
01.07.2010,4. Wieden,33179,313,1138,1
01.07.2010,5. Margareten,54546,445,973,1
01.07.2010,6. Mariahilf,31342,65,792,1
01.07.2010,7. Neubau,31621,286,1488,1
01.07.2010,8. Josefstadt,25513,110,953,1
01.07.2010,9. Alsergrund,41316,263,1878,1
01.07.2010,10. Favoriten,204279,2014,9157,1
01.07.2010,11. Simmering,106889,239,4038,2
01.07.2010,12. Meidling,97600,399,3026,1
01.07.2010,13. Hietzing,56763,227,774,1
01.07.2010,14. Penzing,94605,493,2417,1
01.07.2010,15. Rudolfsheim-Fuenfhaus,76707,328,2405,1
01.07.2010,16. Ottakring,104627,1011,4528,1
01.07.2010,17. Hernals,57171,231,1949,1
01.07.2010,18. Waehring,52746,364,2197,1
01.07.2010,19. Doebling,72891,689,3370,1
01.07.2010,20. Brigittenau,87216,729,1196,1
01.07.2010,21. Floridsdorf,166709,692,3141,2
01.07.2010,22. Donaustadt,191119,580,4715,1
01.08.2010,1. Innere Stadt,16465,57,546,1
01.08.2010,2. Leopoldstadt,103233,373,4619,1
01.08.2010,3. Landstraße,90277,564,2554,1
01.08.2010,4. Wieden,33179,93,929,1
01.08.2010,5. Margareten,54546,100,2218,1
01.08.2010,6. Mariahilf,31342,245,1504,1
01.08.2010,7. Neubau,31621,203,324,1
01.08.2010,8. Josefstadt,25513,197,1255,1
01.08.2010,9. Alsergrund,41316,322,617,1
01.08.2010,10. Favoriten,204279,926,3595,3
01.08.2010,11. Simmering,106889,465,3715,1
01.08.2010,12. Meidling,97600,239,3267,1
01.08.2010,13. Hietzing,56763,520,1284,1
01.08.2010,14. Penzing,94605,235,4719,1
01.08.2010,15. Rudolfsheim-Fuenfhaus,76707,683,1829,1
01.08.2010,16. Ottakring,104627,241,4155,2
01.08.2010,17. Hernals,57171,399,1081,1
01.08.2010,18. Waehring,52746,483,747,1
01.08.2010,19. Doebling,72891,426,1130,1
01.08.2010,20. Brigittenau,87216,404,2573,1
01.08.2010,21. Floridsdorf,166709,1608,5567,1
01.08.2010,22. Donaustadt,191119,1696,2880,1
01.09.2010,1. Innere Stadt,16465,154,764,1
01.09.2010,2. Leopoldstadt,103233,408,1388,1
01.09.2010,3. Landstraße,90277,341,4411,1
01.09.2010,4. Wieden,33179,93,1436,1
01.09.2010,5. Margareten,54546,538,1574,1
01.09.2010,6. Mariahilf,31342,278,476,1
01.09.2010,7. Neubau,31621,178,708,1
01.09.2010,8. Josefstadt,25513,192,1243,1
01.09.2010,9. Alsergrund,41316,119,1375,1
01.09.2010,10. Favoriten,204279,1559,3258,4
01.09.2010,11. Simmering,106889,207,1497,2
01.09.2010,12. Meidling,97600,614,3731,1
01.09.2010,13. Hietzing,56763,292,2223,1
01.09.2010,14. Penzing,94605,788,3357,1
01.09.2010,15. Rudolfsheim-Fuenfhaus,76707,308,2404,1
01.09.2010,16. Ottakring,104627,627,3572,2
01.09.2010,17. Hernals,57171,373,992,1
01.09.2010,18. Waehring,52746,418,1245,1
01.09.2010,19. Doebling,72891,623,1140,1
01.09.2010,20. Brigittenau,87216,371,2670,1
01.09.2010,21. Floridsdorf,166709,218,2091,3
01.09.2010,22. Donaustadt,191119,372,2577,2
01.10.2010,1. Innere Stadt,16465,116,178,1
01.10.2010,2. Leopoldstadt,103233,516,2435,2
01.10.2010,3. Landstraße,90277,376,3136,1
01.10.2010,4. Wieden,33179,72,1228,1
01.10.2010,5. Margareten,54546,84,2476,1
01.10.2010,6. Mariahilf,31342,151,731,1
01.10.2010,7. Neubau,31621,277,680,1
01.10.2010,8. Josefstadt,25513,37,365,1
01.10.2010,9. Alsergrund,41316,348,525,1
01.10.2010,10. Favoriten,204279,922,4680,4
01.10.2010,11. Simmering,106889,433,1120,2
01.10.2010,12. Meidling,97600,656,3987,1
01.10.2010,13. Hietzing,56763,143,1026,1
01.10.2010,14. Penzing,94605,653,3195,1
01.10.2010,15. Rudolfsheim-Fuenfhaus,76707,379,3492,1
01.10.2010,16. Ottakring,104627,304,2372,2
01.10.2010,17. Hernals,57171,108,2684,1
01.10.2010,18. Waehring,52746,294,1974,1
01.10.2010,19. Doebling,72891,389,3089,1
01.10.2010,20. Brigittenau,87216,211,1279,1
01.10.2010,21. Floridsdorf,166709,1250,7100,2
01.10.2010,22. Donaustadt,191119,359,8121,3
01.11.2010,1. Innere Stadt,16465,78,627,1
01.11.2010,2. Leopoldstadt,103233,1014,2744,2
01.11.2010,3. Landstraße,90277,102,3488,1
01.11.2010,4. Wieden,33179,254,343,1
01.11.2010,5. Margareten,54546,253,2298,1
01.11.2010,6. Mariahilf,31342,82,572,1
01.11.2010,7. Neubau,31621,156,745,1
01.11.2010,8. Josefstadt,25513,34,745,1
01.11.2010,9. Alsergrund,41316,382,956,1
01.11.2010,10. Favoriten,204279,1189,4167,1
01.11.2010,11. Simmering,106889,436,3358,1
01.11.2010,12. Meidling,97600,266,3338,1
01.11.2010,13. Hietzing,56763,216,866,1
01.11.2010,14. Penzing,94605,256,2518,1
01.11.2010,15. Rudolfsheim-Fuenfhaus,76707,530,3161,1
01.11.2010,16. Ottakring,104627,953,5017,2
01.11.2010,17. Hernals,57171,355,1562,1
01.11.2010,18. Waehring,52746,218,1274,1
01.11.2010,19. Doebling,72891,301,3307,1
01.11.2010,20. Brigittenau,87216,770,4341,1
01.11.2010,21. Floridsdorf,166709,554,8271,1
01.11.2010,22. Donaustadt,191119,1696,6077,1
01.12.2010,1. Innere Stadt,16465,105,694,1
01.12.2010,2. Leopoldstadt,103233,859,4558,1
01.12.2010,3. Landstraße,90277,646,1035,1
01.12.2010,4. Wieden,33179,194,733,1
01.12.2010,5. Margareten,54546,496,1623,1
01.12.2010,6. Mariahilf,31342,169,1045,1
01.12.2010,7. Neubau,31621,118,522,1
01.12.2010,8. Josefstadt,25513,35,980,1
01.12.2010,9. Alsergrund,41316,44,1744,1
01.12.2010,10. Favoriten,204279,1893,7698,3
01.12.2010,11. Simmering,106889,902,4623,1
01.12.2010,12. Meidling,97600,578,4080,1
01.12.2010,13. Hietzing,56763,199,2547,1
01.12.2010,14. Penzing,94605,639,1826,1
01.12.2010,15. Rudolfsheim-Fuenfhaus,76707,423,1568,1
01.12.2010,16. Ottakring,104627,357,5090,2
01.12.2010,17. Hernals,57171,441,1150,1
01.12.2010,18. Waehring,52746,111,1306,1
01.12.2010,19. Doebling,72891,146,3363,1
01.12.2010,20. Brigittenau,87216,92,2781,1
01.12.2010,21. Floridsdorf,166709,879,2076,2
01.12.2010,22. Donaustadt,191119,1684,8950,3
01.01.2011,1. Innere Stadt,16465,104,808,1
01.01.2011,2. Leopoldstadt,103233,532,2143,2
01.01.2011,3. Landstraße,90277,480,3725,1
01.01.2011,4. Wieden,33179,85,1154,1
01.01.2011,5. Margareten,54546,287,1135,1
01.01.2011,6. Mariahilf,31342,234,974,1
01.01.2011,7. Neubau,31621,47,1057,1
01.01.2011,8. Josefstadt,25513,69,327,1
01.01.2011,9. Alsergrund,41316,154,1985,1
01.01.2011,10. Favoriten,204279,1176,4071,1
01.01.2011,11. Simmering,106889,428,3665,1
01.01.2011,12. Meidling,97600,603,1356,1
01.01.2011,13. Hietzing,56763,223,2509,1
01.01.2011,14. Penzing,94605,443,2657,1
01.01.2011,15. Rudolfsheim-Fuenfhaus,76707,227,837,1
01.01.2011,16. Ottakring,104627,571,3593,2
01.01.2011,17. Hernals,57171,147,1034,1
01.01.2011,18. Waehring,52746,366,1481,1
01.01.2011,19. Doebling,72891,597,3224,1
01.01.2011,20. Brigittenau,87216,695,3687,1
01.01.2011,21. Floridsdorf,166709,1300,8138,3
01.01.2011,22. Donaustadt,191119,1440,3946,1
01.02.2011,1. Innere Stadt,16465,30,477,1
01.02.2011,2. Leopoldstadt,103233,155,2716,1
01.02.2011,3. Landstraße,90277,500,4341,1
01.02.2011,4. Wieden,33179,177,825,1
01.02.2011,5. Margareten,54546,137,1260,1
01.02.2011,6. Mariahilf,31342,148,1244,1
01.02.2011,7. Neubau,31621,261,1238,1
01.02.2011,8. Josefstadt,25513,227,360,1
01.02.2011,9. Alsergrund,41316,189,1366,1
01.02.2011,10. Favoriten,204279,1638,6781,3
01.02.2011,11. Simmering,106889,529,4116,1
01.02.2011,12. Meidling,97600,439,4615,1
01.02.2011,13. Hietzing,56763,223,2263,1
01.02.2011,14. Penzing,94605,508,1761,1
01.02.2011,15. Rudolfsheim-Fuenfhaus,76707,462,1611,1
01.02.2011,16. Ottakring,104627,619,2569,2
01.02.2011,17. Hernals,57171,273,2329,1
01.02.2011,18. Waehring,52746,490,1945,1
01.02.2011,19. Doebling,72891,194,810,1
01.02.2011,20. Brigittenau,87216,792,2457,1
01.02.2011,21. Floridsdorf,166709,1049,5824,2
01.02.2011,22. Donaustadt,191119,1368,2905,1
01.03.2011,1. Innere Stadt,16465,61,201,1
01.03.2011,2. Leopoldstadt,103233,375,2363,2
01.03.2011,3. Landstraße,90277,238,4298,1
01.03.2011,4. Wieden,33179,238,1521,1
01.03.2011,5. Margareten,54546,157,2288,1
01.03.2011,6. Mariahilf,31342,150,1491,1
01.03.2011,7. Neubau,31621,303,377,1
01.03.2011,8. Josefstadt,25513,148,673,1
01.03.2011,9. Alsergrund,41316,185,1145,1
01.03.2011,10. Favoriten,204279,1443,7736,2
01.03.2011,11. Simmering,106889,1039,1648,1
01.03.2011,12. Meidling,97600,839,1727,1
01.03.2011,13. Hietzing,56763,141,2467,1
01.03.2011,14. Penzing,94605,760,2893,1
01.03.2011,15. Rudolfsheim-Fuenfhaus,76707,278,3531,1
01.03.2011,16. Ottakring,104627,402,1975,2
01.03.2011,17. Hernals,57171,372,2161,1
01.03.2011,18. Waehring,52746,352,2257,1
01.03.2011,19. Doebling,72891,672,2266,1
01.03.2011,20. Brigittenau,87216,540,1552,1
01.03.2011,21. Floridsdorf,166709,915,8300,1
01.03.2011,22. Donaustadt,191119,238,7683,2
01.04.2011,1. Innere Stadt,16465,18,278,1
01.04.2011,2. Leopoldstadt,103233,456,2377,2
01.04.2011,3. Landstraße,90277,239,4184,1
01.04.2011,4. Wieden,33179,215,942,1
01.04.2011,5. Margareten,54546,535,933,1
01.04.2011,6. Mariahilf,31342,72,380,1
01.04.2011,7. Neubau,31621,167,689,1
01.04.2011,8. Josefstadt,25513,224,1213,1
01.04.2011,9. Alsergrund,41316,292,599,1
01.04.2011,10. Favoriten,204279,399,2381,1
01.04.2011,11. Simmering,106889,961,1127,1
01.04.2011,12. Meidling,97600,392,1691,1
01.04.2011,13. Hietzing,56763,508,1340,1
01.04.2011,14. Penzing,94605,331,2040,1
01.04.2011,15. Rudolfsheim-Fuenfhaus,76707,746,2330,1
01.04.2011,16. Ottakring,104627,864,1725,2
01.04.2011,17. Hernals,57171,455,2201,1
01.04.2011,18. Waehring,52746,162,2015,1
01.04.2011,19. Doebling,72891,189,2318,1
01.04.2011,20. Brigittenau,87216,107,1895,1
01.04.2011,21. Floridsdorf,166709,1578,2413,3
01.04.2011,22. Donaustadt,191119,738,9441,1
01.05.2011,1. Innere Stadt,16465,24,787,1
01.05.2011,2. Leopoldstadt,103233,754,1903,2
01.05.2011,3. Landstraße,90277,182,4258,1
01.05.2011,4. Wieden,33179,49,830,1
01.05.2011,5. Margareten,54546,386,1063,1
01.05.2011,6. Mariahilf,31342,151,1262,1
01.05.2011,7. Neubau,31621,170,687,1
01.05.2011,8. Josefstadt,25513,97,537,1
01.05.2011,9. Alsergrund,41316,106,1328,1
01.05.2011,10. Favoriten,204279,1407,9480,3
01.05.2011,11. Simmering,106889,243,1388,1
01.05.2011,12. Meidling,97600,570,1495,1
01.05.2011,13. Hietzing,56763,476,1367,1
01.05.2011,14. Penzing,94605,582,2761,1
01.05.2011,15. Rudolfsheim-Fuenfhaus,76707,377,2055,1
01.05.2011,16. Ottakring,104627,146,2401,2
01.05.2011,17. Hernals,57171,541,2027,1
01.05.2011,18. Waehring,52746,309,2321,1
01.05.2011,19. Doebling,72891,430,1116,1
01.05.2011,20. Brigittenau,87216,700,3682,1
01.05.2011,21. Floridsdorf,166709,1439,4278,3
01.05.2011,22. Donaustadt,191119,1594,8075,2
01.06.2011,1. Innere Stadt,16465,94,430,1
01.06.2011,2. Leopoldstadt,103233,760,3682,1
01.06.2011,3. Landstraße,90277,373,2396,1
01.06.2011,4. Wieden,33179,186,1505,1
01.06.2011,5. Margareten,54546,189,762,1
01.06.2011,6. Mariahilf,31342,311,877,1
01.06.2011,7. Neubau,31621,204,653,1
01.06.2011,8. Josefstadt,25513,246,1037,1
01.06.2011,9. Alsergrund,41316,67,2003,1
01.06.2011,10. Favoriten,204279,1365,4903,2
01.06.2011,11. Simmering,106889,942,2209,2
01.06.2011,12. Meidling,97600,446,4125,1
01.06.2011,13. Hietzing,56763,432,1720,1
01.06.2011,14. Penzing,94605,102,2631,1
01.06.2011,15. Rudolfsheim-Fuenfhaus,76707,723,1626,1
01.06.2011,16. Ottakring,104627,820,2440,2
01.06.2011,17. Hernals,57171,294,1764,1
01.06.2011,18. Waehring,52746,275,1940,1
01.06.2011,19. Doebling,72891,95,1901,1
01.06.2011,20. Brigittenau,87216,774,2176,1
01.06.2011,21. Floridsdorf,166709,1056,7580,1
01.06.2011,22. Donaustadt,191119,1250,4836,2
01.07.2011,1. Innere Stadt,16465,86,185,1
01.07.2011,2. Leopoldstadt,103233,689,2628,1
01.07.2011,3. Landstraße,90277,509,1083,1
01.07.2011,4. Wieden,33179,197,1067,1
01.07.2011,5. Margareten,54546,157,2624,1
01.07.2011,6. Mariahilf,31342,301,504,1
01.07.2011,7. Neubau,31621,194,1200,1
01.07.2011,8. Josefstadt,25513,73,564,1
01.07.2011,9. Alsergrund,41316,104,1600,1
01.07.2011,10. Favoriten,204279,923,8851,1
01.07.2011,11. Simmering,106889,472,4580,2
01.07.2011,12. Meidling,97600,522,1042,1
01.07.2011,13. Hietzing,56763,96,721,1
01.07.2011,14. Penzing,94605,368,4236,1
01.07.2011,15. Rudolfsheim-Fuenfhaus,76707,356,3708,1
01.07.2011,16. Ottakring,104627,544,4983,1
01.07.2011,17. Hernals,57171,426,867,1
01.07.2011,18. Waehring,52746,79,2458,1
01.07.2011,19. Doebling,72891,331,939,1
01.07.2011,20. Brigittenau,87216,862,1071,1
01.07.2011,21. Floridsdorf,166709,1307,7637,3
01.07.2011,22. Donaustadt,191119,798,3642,1
01.08.2011,1. Innere Stadt,16465,117,564,1
01.08.2011,2. Leopoldstadt,103233,122,4381,1
01.08.2011,3. Landstraße,90277,867,1278,1
01.08.2011,4. Wieden,33179,47,1319,1
01.08.2011,5. Margareten,54546,515,1142,1
01.08.2011,6. Mariahilf,31342,244,1136,1
01.08.2011,7. Neubau,31621,35,782,1
01.08.2011,8. Josefstadt,25513,60,306,1
01.08.2011,9. Alsergrund,41316,57,1983,1
01.08.2011,10. Favoriten,204279,1524,7918,2
01.08.2011,11. Simmering,106889,806,2627,2
01.08.2011,12. Meidling,97600,303,3353,1
01.08.2011,13. Hietzing,56763,97,1239,1
01.08.2011,14. Penzing,94605,678,2554,1
01.08.2011,15. Rudolfsheim-Fuenfhaus,76707,662,1634,1
01.08.2011,16. Ottakring,104627,275,2468,2
01.08.2011,17. Hernals,57171,132,777,1
01.08.2011,18. Waehring,52746,143,1104,1
01.08.2011,19. Doebling,72891,303,1206,1
01.08.2011,20. Brigittenau,87216,695,2570,1
01.08.2011,21. Floridsdorf,166709,631,6883,2
01.08.2011,22. Donaustadt,191119,299,9532,2
01.09.2011,1. Innere Stadt,16465,100,381,1
01.09.2011,2. Leopoldstadt,103233,698,2898,2
01.09.2011,3. Landstraße,90277,297,3502,1
01.09.2011,4. Wieden,33179,189,477,1
01.09.2011,5. Margareten,54546,188,1329,1
01.09.2011,6. Mariahilf,31342,301,1560,1
01.09.2011,7. Neubau,31621,91,911,1
01.09.2011,8. Josefstadt,25513,99,719,1
01.09.2011,9. Alsergrund,41316,122,1814,1
01.09.2011,10. Favoriten,204279,1849,5492,2
01.09.2011,11. Simmering,106889,729,3469,2
01.09.2011,12. Meidling,97600,872,3124,1
01.09.2011,13. Hietzing,56763,237,2506,1
01.09.2011,14. Penzing,94605,485,3384,1
01.09.2011,15. Rudolfsheim-Fuenfhaus,76707,245,2436,1
01.09.2011,16. Ottakring,104627,407,4446,1
01.09.2011,17. Hernals,57171,112,1543,1
01.09.2011,18. Waehring,52746,497,1790,1
01.09.2011,19. Doebling,72891,490,830,1
01.09.2011,20. Brigittenau,87216,668,3847,1
01.09.2011,21. Floridsdorf,166709,494,7647,3
01.09.2011,22. Donaustadt,191119,1824,9415,2
01.10.2011,1. Innere Stadt,16465,115,625,1
01.10.2011,2. Leopoldstadt,103233,638,5027,1
01.10.2011,3. Landstraße,90277,133,4065,1
01.10.2011,4. Wieden,33179,197,1625,1
01.10.2011,5. Margareten,54546,157,2346,1
01.10.2011,6. Mariahilf,31342,266,1083,1
01.10.2011,7. Neubau,31621,213,620,1
01.10.2011,8. Josefstadt,25513,60,300,1
01.10.2011,9. Alsergrund,41316,260,1346,1
01.10.2011,10. Favoriten,204279,248,3740,2
01.10.2011,11. Simmering,106889,785,3445,2
01.10.2011,12. Meidling,97600,628,1274,1
01.10.2011,13. Hietzing,56763,494,2165,1
01.10.2011,14. Penzing,94605,378,3859,1
01.10.2011,15. Rudolfsheim-Fuenfhaus,76707,522,1532,1
01.10.2011,16. Ottakring,104627,156,3910,1
01.10.2011,17. Hernals,57171,238,2686,1
01.10.2011,18. Waehring,52746,348,1388,1
01.10.2011,19. Doebling,72891,265,1605,1
01.10.2011,20. Brigittenau,87216,682,1543,1
01.10.2011,21. Floridsdorf,166709,726,6892,2
01.10.2011,22. Donaustadt,191119,1696,8877,3
01.11.2011,1. Innere Stadt,16465,159,312,1
01.11.2011,2. Leopoldstadt,103233,375,1104,1
01.11.2011,3. Landstraße,90277,635,2187,1
01.11.2011,4. Wieden,33179,230,1315,1
01.11.2011,5. Margareten,54546,251,2576,1
01.11.2011,6. Mariahilf,31342,207,561,1
01.11.2011,7. Neubau,31621,116,1045,1
01.11.2011,8. Josefstadt,25513,31,366,1
01.11.2011,9. Alsergrund,41316,263,913,1
01.11.2011,10. Favoriten,204279,1410,3394,4
01.11.2011,11. Simmering,106889,1038,1333,1
01.11.2011,12. Meidling,97600,146,2182,1
01.11.2011,13. Hietzing,56763,497,1106,1
01.11.2011,14. Penzing,94605,718,2287,1
01.11.2011,15. Rudolfsheim-Fuenfhaus,76707,233,997,1
01.11.2011,16. Ottakring,104627,326,4790,1
01.11.2011,17. Hernals,57171,228,687,1
01.11.2011,18. Waehring,52746,375,771,1
01.11.2011,19. Doebling,72891,152,2556,1
01.11.2011,20. Brigittenau,87216,199,3465,1
01.11.2011,21. Floridsdorf,166709,729,5419,1
01.11.2011,22. Donaustadt,191119,1045,3688,2
01.12.2011,1. Innere Stadt,16465,98,312,1
01.12.2011,2. Leopoldstadt,103233,904,3055,1
01.12.2011,3. Landstraße,90277,900,3156,1
01.12.2011,4. Wieden,33179,130,354,1
01.12.2011,5. Margareten,54546,203,556,1
01.12.2011,6. Mariahilf,31342,111,433,1
01.12.2011,7. Neubau,31621,51,841,1
01.12.2011,8. Josefstadt,25513,138,667,1
01.12.2011,9. Alsergrund,41316,379,1517,1
01.12.2011,10. Favoriten,204279,1875,9165,3
01.12.2011,11. Simmering,106889,199,3763,1
01.12.2011,12. Meidling,97600,880,4837,1
01.12.2011,13. Hietzing,56763,113,2604,1
01.12.2011,14. Penzing,94605,396,1118,1
01.12.2011,15. Rudolfsheim-Fuenfhaus,76707,247,3444,1
01.12.2011,16. Ottakring,104627,896,4240,2
01.12.2011,17. Hernals,57171,230,1739,1
01.12.2011,18. Waehring,52746,468,982,1
01.12.2011,19. Doebling,72891,223,1102,1
01.12.2011,20. Brigittenau,87216,735,3659,1
01.12.2011,21. Floridsdorf,166709,1398,3783,1
01.12.2011,22. Donaustadt,191119,893,2084,2
01.01.2012,1. Innere Stadt,16465,33,732,1
01.01.2012,2. Leopoldstadt,103233,228,5065,1
01.01.2012,3. Landstraße,90277,745,2814,1
01.01.2012,4. Wieden,33179,169,1149,1
01.01.2012,5. Margareten,54546,203,2263,1
01.01.2012,6. Mariahilf,31342,163,1137,1
01.01.2012,7. Neubau,31621,186,1430,1
01.01.2012,8. Josefstadt,25513,103,1171,1
01.01.2012,9. Alsergrund,41316,174,468,1
01.01.2012,10. Favoriten,204279,1105,3467,1
01.01.2012,11. Simmering,106889,791,2953,2
01.01.2012,12. Meidling,97600,822,1294,1
01.01.2012,13. Hietzing,56763,544,1798,1
01.01.2012,14. Penzing,94605,451,4356,1
01.01.2012,15. Rudolfsheim-Fuenfhaus,76707,612,975,1
01.01.2012,16. Ottakring,104627,969,2250,2
