Date,Confirmed,Deaths,Recovered,New Cases,New Deaths,New Recovered,Hospitalized,ICU,Free Beds,Free ICU Beds
05.03.2021,756181,6435,325402,8525,49,675,5336,1040,34664,1460
06.03.2021,763566,6446,326532,7385,11,1130,5336,1040,34664,1460
07.03.2021,771144,6458,328164,7578,12,1632,5369,1042,34631,1458
08.03.2021,777444,6475,329001,6300,17,837,5273,1021,34727,1479
09.03.2021,785743,6514,330347,8299,39,1346,5357,1046,34643,1454
10.03.2021,792151,6524,330883,6408,10,536,5326,1038,34674,1462
11.03.2021,799194,6567,332724,7043,43,1841,5334,1037,34666,1463
12.03.2021,806542,6602,334350,7348,35,1626,5338,1042,34662,1458
13.03.2021,813414,6651,335414,6872,49,1064,5259,1021,34741,1479
14.03.2021,820793,6682,336694,7379,31,1280,5252,1017,34748,1483
15.03.2021,828908,6689,337942,8115,7,1248,5315,1025,34685,1475
16.03.2021,837028,6705,338707,8120,16,765,5324,1028,34676,1472
17.03.2021,844779,6740,339361,7751,35,654,5327,1023,34673,1477
18.03.2021,852878,6771,340401,8099,31,1040,5337,1034,34663,1466
19.03.2021,860881,6793,342559,8003,22,2158,5351,1039,34649,1461
20.03.2021,866940,6795,343206,6059,2,647,5235,1025,34765,1475
21.03.2021,873355,6828,345351,6415,33,2145,5177,1024,34823,1476
22.03.2021,881449,6863,346961,8094,35,1610,5186,1032,34814,1468
23.03.2021,888627,6876,347476,7178,13,515,5189,1026,34811,1474
24.03.2021,894391,6926,348135,5764,50,659,5156,1026,34844,1474
25.03.2021,900812,6976,349221,6421,50,1086,5115,1020,34885,1480
26.03.2021,907647,7021,349839,6835,45,618,5081,1007,34919,1493
27.03.2021,915967,7033,351733,8320,12,1894,5150,1029,34850,1471
28.03.2021,922291,7036,353805,6324,3,2072,5131,1032,34869,1468
29.03.2021,929244,7060,355231,6953,24,1426,5144,1037,34856,1463
30.03.2021,935070,7093,356916,5826,33,1685,5125,1030,34875,1470
31.03.2021,941299,7114,357633,6229,21,717,5059,1017,34941,1483
01.04.2021,948233,7151,359318,6934,37,1685,5045,1004,34955,1496
02.04.2021,955272,7187,360065,7039,36,747,5042,1014,34958,1486
03.04.2021,963819,7221,361498,8547,34,1433,5094,1016,34906,1484
04.04.2021,971315,7260,362025,7496,39,527,5113,1027,34887,1473
05.04.2021,979197,7266,363757,7882,6,1732,5183,1039,34817,1461
06.04.2021,987316,7295,365875,8119,29,2118,5205,1052,34795,1448
07.04.2021,995474,7344,367826,8158,49,1951,5289,1062,34711,1438
08.04.2021,1003379,7381,368982,7905,37,1156,5322,1074,34678,1426
09.04.2021,1011444,7418,370128,8065,37,1146,5373,1081,34627,1419
10.04.2021,1019507,7445,371706,8063,27,1578,5412,1082,34588,1418
11.04.2021,1025747,7473,373362,6240,28,1656,5309,1053,34691,1447
12.04.2021,1033446,7492,375392,7699,19,2030,5283,1039,34717,1461
13.04.2021,1041188,7536,377324,7742,44,1932,5265,1034,34735,1466
14.04.2021,1048535,7584,378186,7347,48,862,5273,1046,34727,1454
15.04.2021,1055686,7605,379567,7151,21,1381,5268,1039,34732,1461
16.04.2021,1062986,7636,380578,7300,31,1011,5305,1040,34695,1460
17.04.2021,1068770,7656,381791,5784,20,1213,5242,1025,34758,1475
18.04.2021,1074683,7659,383027,5913,3,1236,5216,1031,34784,1469
19.04.2021,1080630,7703,384540,5947,44,1513,5182,1035,34818,1465
20.04.2021,1086331,7721,385585,5701,18,1045,5112,1030,34888,1470
21.04.2021,1094461,7725,386092,8130,4,507,5206,1051,34794,1449
22.04.2021,1102206,7744,387657,7745,19,1565,5198,1048,34802,1452
23.04.2021,1110708,7748,389127,8502,4,1470,5215,1056,34785,1444
24.04.2021,1116422,7781,389994,5714,33,867,5097,1025,34903,1475
25.04.2021,1123989,7795,392074,7567,14,2080,5139,1029,34861,1471
26.04.2021,1129820,7818,394108,5831,23,2034,5050,1020,34950,1480
27.04.2021,1135845,7862,394747,6025,44,639,4965,992,35035,1508
28.04.2021,1142024,7882,396519,6179,20,1772,4888,972,35112,1528
29.04.2021,1148998,7903,397111,6974,21,592,4864,975,35136,1525
30.04.2021,1155315,7921,398205,6317,18,1094,4829,970,35171,1530
01.05.2021,1161585,7956,399961,6270,35,1756,4834,980,35166,1520
02.05.2021,1167447,7975,401183,5862,19,1222,4778,970,35222,1530
03.05.2021,1175653,8004,402040,8206,29,857,4872,992,35128,1508
04.05.2021,1182664,8035,403904,7011,31,1864,4851,992,35149,1508
05.05.2021,1191168,8045,404591,8504,10,687,4921,1010,35079,1490
06.05.2021,1198595,8060,405665,7427,15,1074,4947,1006,35053,1494
07.05.2021,1204496,8076,407831,5901,16,2166,4852,988,35148,1512
08.05.2021,1211546,8101,408599,7050,25,768,4832,977,35168,1523
09.05.2021,1217848,8123,410470,6302,22,1871,4792,978,35208,1522
10.05.2021,1225731,8167,412233,7883,44,1763,4817,980,35183,1520
11.05.2021,1233798,8215,413917,8067,48,1684,4865,991,35135,1509
12.05.2021,1239949,8252,414702,6151,37,785,4876,988,35124,1512
13.05.2021,1248452,8265,415501,8503,13,799,4947,1010,35053,1490
14.05.2021,1256576,8293,416883,8124,28,1382,4998,1021,35002,1479
15.05.2021,1263262,8338,418483,6686,45,1600,5007,1027,34993,1473
16.05.2021,1269335,8343,419221,6073,5,738,4911,998,35089,1502
17.05.2021,1277844,8368,420881,8509,25,1660,5015,1027,34985,1473
18.05.2021,1286306,8388,422339,8462,20,1458,5123,1053,34877,1447
19.05.2021,1292437,8391,423256,6131,3,917,5073,1040,34927,1460
20.05.2021,1299145,8431,424451,6708,40,1195,5101,1038,34899,1462
21.05.2021,1306633,8443,426546,7488,12,2095,5119,1035,34881,1465
22.05.2021,1312502,8470,427036,5869,27,490,5010,1002,34990,1498
23.05.2021,1320170,8477,428964,7668,7,1928,5078,1009,34922,1491
24.05.2021,1327742,8511,429622,7572,34,658,5104,1011,34896,1489
25.05.2021,1336031,8512,430607,8289,1,985,5187,1019,34813,1481
26.05.2021,1341765,8526,432032,5734,14,1425,5073,994,34927,1506
27.05.2021,1349317,8544,433067,7552,18,1035,5125,1010,34875,1490
28.05.2021,1356128,8583,433644,6811,39,577,5080,1001,34920,1499
29.05.2021,1361963,8633,434048,5835,50,404,4984,979,35016,1521
30.05.2021,1369526,8655,435511,7563,22,1463,5064,998,34936,1502
31.05.2021,1376896,8692,436120,7370,37,609,5062,1001,34938,1499
01.06.2021,1383659,8733,436613,6763,41,493,5012,991,34988,1509
02.06.2021,1391239,8778,437438,7580,45,825,5029,996,34971,1504
03.06.2021,1399594,8799,438436,8355,21,998,5103,1012,34897,1488
04.06.2021,1407612,8801,439356,8018,2,920,5166,1024,34834,1476
05.06.2021,1414322,8843,441009,6710,42,1653,5143,1022,34857,1478
06.06.2021,1420279,8867,441699,5957,24,690,5078,1005,34922,1495
07.06.2021,1427594,8888,442167,7315,21,468,5048,1004,34952,1496
08.06.2021,1434426,8905,442808,6832,17,641,5006,987,34994,1513
09.06.2021,1441343,8929,443409,6917,24,601,5015,997,34985,1503
10.06.2021,1449673,8979,444974,8330,50,1565,5079,1019,34921,1481
11.06.2021,1458176,9017,446656,8503,38,1682,5114,1027,34886,1473
12.06.2021,1464730,9046,447907,6554,29,1251,5100,1024,34900,1476
13.06.2021,1471888,9070,449122,7158,24,1215,5079,1026,34921,1474
14.06.2021,1477710,9106,450288,5822,36,1166,5035,1014,34965,1486
15.06.2021,1484636,9132,450806,6926,26,518,5040,1024,34960,1476
16.06.2021,1490822,9166,452864,6186,34,2058,4968,1009,35032,1491
17.06.2021,1498454,9168,453272,7632,2,408,5045,1014,34955,1486
18.06.2021,1504705,9216,454311,6251,48,1039,4979,998,35021,1502
19.06.2021,1512549,9238,455370,7844,22,1059,5027,1006,34973,1494
20.06.2021,1518397,9272,455874,5848,34,504,4976,988,35024,1512
21.06.2021,1524932,9321,456502,6535,49,628,4994,985,35006,1515
22.06.2021,1533383,9369,457207,8451,48,705,5050,1004,34950,1496
23.06.2021,1540353,9384,458246,6970,15,1039,5044,1004,34956,1496
24.06.2021,1546816,9431,459612,6463,47,1366,4993,1001,35007,1499
25.06.2021,1552844,9435,460130,6028,4,518,4943,985,35057,1515
26.06.2021,1560081,9479,462100,7237,44,1970,4925,979,35075,1521
27.06.2021,1567772,9487,463293,7691,8,1193,4943,980,35057,1520
28.06.2021,1576009,9518,464109,8237,31,816,4977,994,35023,1506
29.06.2021,1582112,9531,466277,6103,13,2168,4913,975,35087,1525
30.06.2021,1588878,9533,467770,6766,2,1493,4858,960,35142,1540
01.07.2021,1597257,9562,469220,8379,29,1450,4934,969,35066,1531
02.07.2021,1603724,9573,470681,6467,11,1461,4950,984,35050,1516
03.07.2021,1610677,9600,471620,6953,27,939,4992,993,35008,1507
04.07.2021,1618669,9610,472558,7992,10,938,5037,998,34963,1502
05.07.2021,1626993,9655,473645,8324,45,1087,5057,995,34943,1505
06.07.2021,1633554,9671,474544,6561,16,899,5062,1003,34938,1497
07.07.2021,1639620,9704,475169,6066,33,625,5059,998,34941,1502
08.07.2021,1648008,9720,476737,8388,16,1568,5134,1013,34866,1487
09.07.2021,1656503,9766,478271,8495,46,1534,5206,1019,34794,1481
10.07.2021,1663404,9780,479230,6901,14,959,5170,1014,34830,1486
11.07.2021,1670704,9811,481092,7300,31,1862,5198,1015,34802,1485
12.07.2021,1678953,9818,482964,8249,7,1872,5291,1027,34709,1473
13.07.2021,1685551,9853,485121,6598,35,2157,5228,1016,34772,1484
14.07.2021,1693565,9864,486000,8014,11,879,5266,1025,34734,1475
15.07.2021,1699792,9905,486743,6227,41,743,5217,1020,34783,1480
16.07.2021,1706855,9936,488613,7063,31,1870,5229,1026,34771,1474
17.07.2021,1713410,9968,489234,6555,32,621,5163,1020,34837,1480
18.07.2021,1719758,9999,490214,6348,31,980,5110,1020,34890,1480
19.07.2021,1728098,10031,491794,8340,32,1580,5161,1032,34839,1468
20.07.2021,1734231,10038,493101,6133,7,1307,5087,1015,34913,1485
21.07.2021,1741484,10070,494432,7253,32,1331,5138,1024,34862,1476
22.07.2021,1748890,10082,495726,7406,12,1294,5177,1035,34823,1465
23.07.2021,1754701,10087,496578,5811,5,852,5060,1011,34940,1489
24.07.2021,1761820,10127,497754,7119,40,1176,5070,1022,34930,1478
25.07.2021,1769178,10160,498631,7358,33,877,5131,1027,34869,1473
26.07.2021,1775851,10185,499968,6673,25,1337,5093,1021,34907,1479
27.07.2021,1783653,10196,500741,7802,11,773,5109,1016,34891,1484
28.07.2021,1792148,10222,502526,8495,26,1785,5138,1026,34862,1474
29.07.2021,1798131,10265,503883,5983,43,1357,5033,998,34967,1502
30.07.2021,1804688,10297,504528,6557,32,645,5021,994,34979,1506
31.07.2021,1810923,10324,505437,6235,27,909,5026,1003,34974,1497
01.08.2021,1817348,10347,507002,6425,23,1565,4991,1003,35009,1497
02.08.2021,1824434,10388,507954,7086,41,952,5021,1013,34979,1487
03.08.2021,1831896,10414,508852,7462,26,898,5019,1009,34981,1491
04.08.2021,1838912,10454,509358,7016,40,506,5005,1016,34995,1484
05.08.2021,1845965,10482,510100,7053,28,742,5057,1025,34943,1475
06.08.2021,1852265,10502,511133,6300,20,1033,4969,1016,35031,1484
07.08.2021,1858947,10528,513271,6682,26,2138,4911,1008,35089,1492
08.08.2021,1864924,10546,514570,5977,18,1299,4907,996,35093,1504
09.08.2021,1873319,10595,516078,8395,49,1508,4945,994,35055,1506
10.08.2021,1880912,10636,518043,7593,41,1965,4958,992,35042,1508
11.08.2021,1886821,10637,520079,5909,1,2036,4869,981,35131,1519
12.08.2021,1894041,10678,521584,7220,41,1505,4895,986,35105,1514
13.08.2021,1902084,10692,522347,8043,14,763,4937,995,35063,1505
14.08.2021,1909825,10714,523149,7741,22,802,5022,1002,34978,1498
15.08.2021,1915686,10715,524007,5861,1,858,4949,997,35051,1503
16.08.2021,1923452,10728,524960,7766,13,953,5015,1002,34985,1498
17.08.2021,1930784,10740,526701,7332,12,1741,5030,1001,34970,1499
18.08.2021,1936798,10744,528697,6014,4,1996,5001,1002,34999,1498
19.08.2021,1943004,10759,530367,6206,15,1670,4930,977,35070,1523
20.08.2021,1949827,10767,532313,6823,8,1946,4929,974,35071,1526
21.08.2021,1955689,10807,533404,5862,40,1091,4831,949,35169,1551
22.08.2021,1963057,10857,534514,7368,50,1110,4879,970,35121,1530
23.08.2021,1970416,10869,536186,7359,12,1672,4877,966,35123,1534
24.08.2021,1978907,10887,537521,8491,18,1335,4952,985,35048,1515
25.08.2021,1986042,10901,539309,7135,14,1788,4984,1001,35016,1499
26.08.2021,1992196,10936,539822,6154,35,513,4949,986,35051,1514
27.08.2021,2000161,10944,540492,7965,8,670,4992,1000,35008,1500
28.08.2021,2007186,10960,542637,7025,16,2145,4982,1002,35018,1498
29.08.2021,2015405,10976,543303,8219,16,666,5082,1025,34918,1475
30.08.2021,2022549,10983,544306,7144,7,1003,5115,1026,34885,1474
31.08.2021,2029244,11003,545910,6695,20,1604,5083,1022,34917,1478
01.09.2021,2035390,11049,547171,6146,46,1261,5048,1008,34952,1492
02.09.2021,2042583,11053,547951,7193,4,780,5095,1024,34905,1476
03.09.2021,2050530,11100,548920,7947,47,969,5159,1033,34841,1467
04.09.2021,2057206,11150,550405,6676,50,1485,5137,1035,34863,1465
05.09.2021,2065566,11175,552225,8360,25,1820,5152,1029,34848,1471
06.09.2021,2073796,11184,553375,8230,9,1150,5216,1031,34784,1469
07.09.2021,2081092,11229,554601,7296,45,1226,5200,1035,34800,1465
08.09.2021,2089212,11277,555598,8120,48,997,5209,1043,34791,1457
09.09.2021,2097088,11313,556846,7876,36,1248,5242,1046,34758,1454
10.09.2021,2104571,11314,557799,7483,1,953,5278,1049,34722,1451
11.09.2021,2111029,11347,559455,6458,33,1656,5207,1025,34793,1475
12.09.2021,2117104,11397,561180,6075,50,1725,5185,1020,34815,1480
13.09.2021,2124542,11429,562041,7438,32,861,5205,1016,34795,1484
14.09.2021,2131884,11456,563944,7342,27,1903,5223,1014,34777,1486
15.09.2021,2139909,11494,566022,8025,38,2078,5262,1034,34738,1466
16.09.2021,2148082,11513,567832,8173,19,1810,5351,1047,34649,1453
17.09.2021,2155289,11519,569411,7207,6,1579,5315,1046,34685,1454
18.09.2021,2162981,11527,570749,7692,8,1338,5355,1052,34645,1448
19.09.2021,2171002,11567,572435,8021,40,1686,5378,1058,34622,1442
20.09.2021,2177745,11581,573979,6743,14,1544,5296,1041,34704,1459
21.09.2021,2186005,11586,575787,8260,5,1808,5338,1050,34662,1450
22.09.2021,2192662,11633,577927,6657,47,2140,5280,1045,34720,1455
23.09.2021,2200482,11657,579876,7820,24,1949,5307,1045,34693,1455
24.09.2021,2207340,11690,581890,6858,33,2014,5254,1044,34746,1456
25.09.2021,2215187,11728,582491,7847,38,601,5300,1063,34700,1437
26.09.2021,2221749,11767,584090,6562,39,1599,5271,1054,34729,1446
27.09.2021,2228778,11812,584841,7029,45,751,5224,1044,34776,1456
28.09.2021,2236058,11823,586614,7280,11,1773,5251,1059,34749,1441
29.09.2021,2242155,11855,587715,6097,32,1101,5200,1038,34800,1462
30.09.2021,2248122,11886,589742,5967,31,2027,5173,1042,34827,1458
01.10.2021,2256038,11926,591908,7916,40,2166,5213,1054,34787,1446
02.10.2021,2262068,11946,592557,6030,20,649,5132,1029,34868,1471
03.10.2021,2268685,11971,593842,6617,25,1285,5078,1026,34922,1474
04.10.2021,2275091,11973,594406,6406,2,564,5008,1013,34992,1487
05.10.2021,2283087,12023,595504,7996,50,1098,5102,1033,34898,1467
06.10.2021,2290287,12056,597623,7200,33,2119,5139,1029,34861,1471
07.10.2021,2297856,12071,598964,7569,15,1341,5197,1050,34803,1450
08.10.2021,2304832,12112,599587,6976,41,623,5200,1053,34800,1447
09.10.2021,2312687,12160,601266,7855,48,1679,5265,1072,34735,1428
10.10.2021,2320384,12186,602693,7697,26,1427,5311,1075,34689,1425
11.10.2021,2328151,12229,604646,7767,43,1953,5292,1065,34708,1435
12.10.2021,2333861,12269,606595,5710,40,1949,5183,1051,34817,1449
13.10.2021,2340248,12318,607140,6387,49,545,5094,1028,34906,1472
14.10.2021,2347109,12365,609297,6861,47,2157,5061,1029,34939,1471
15.10.2021,2354544,12397,610632,7435,32,1335,5082,1024,34918,1476
16.10.2021,2362566,12415,611248,8022,18,616,5111,1039,34889,1461
17.10.2021,2370151,12416,612550,7585,1,1302,5098,1039,34902,1461
18.10.2021,2377724,12418,614611,7573,2,2061,5091,1032,34909,1468
19.10.2021,2384288,12447,615306,6564,29,695,5072,1028,34928,1472
20.10.2021,2392595,12448,617220,8307,1,1914,5181,1056,34819,1444
21.10.2021,2401100,12451,617793,8505,3,573,5247,1060,34753,1440
22.10.2021,2407599,12473,618720,6499,22,927,5160,1045,34840,1455
23.10.2021,2414874,12487,619816,7275,14,1096,5189,1056,34811,1444
24.10.2021,2422897,12520,621858,8023,33,2042,5199,1061,34801,1439
25.10.2021,2431002,12534,623580,8105,14,1722,5255,1077,34745,1423
26.10.2021,2439130,12574,624026,8128,40,446,5325,1088,34675,1412
27.10.2021,2444847,12607,624690,5717,33,664,5237,1076,34763,1424
28.10.2021,2451409,12626,625870,6562,19,1180,5216,1065,34784,1435
29.10.2021,2457934,12666,627653,6525,40,1783,5180,1056,34820,1444
30.10.2021,2463767,12689,629643,5833,23,1990,5100,1039,34900,1461
31.10.2021,2471267,12712,630698,7500,23,1055,5077,1029,34923,1471
01.11.2021,2479703,12728,632098,8436,16,1400,5188,1048,34812,1452
02.11.2021,2487939,12737,632913,8236,9,815,5240,1052,34760,1448
03.11.2021,2495893,12752,634113,7954,15,1200,5260,1066,34740,1434
04.11.2021,2502519,12775,634673,6626,23,560,5200,1047,34800,1453
05.11.2021,2508616,12816,635852,6097,41,1179,5174,1031,34826,1469
06.11.2021,2515029,12825,636636,6413,9,784,5082,1011,34918,1489
07.11.2021,2523034,12875,638556,8005,50,1920,5116,1009,34884,1491
08.11.2021,2529433,12876,639677,6399,1,1121,5085,996,34915,1504
09.11.2021,2537346,12911,640948,7913,35,1271,5139,1002,34861,1498
10.11.2021,2543380,12961,643122,6034,50,2174,5094,989,34906,1511
11.11.2021,2550205,12972,644287,6825,11,1165,5106,988,34894,1512
12.11.2021,2558680,12979,645515,8475,7,1228,5159,1009,34841,1491
13.11.2021,2565815,13024,646478,7135,45,963,5160,1007,34840,1493
14.11.2021,2572579,13066,647745,6764,42,1267,5180,1017,34820,1483
15.11.2021,2578338,13100,649299,5759,34,1554,5104,1005,34896,1495
16.11.2021,2586400,13131,650482,8062,31,1183,5137,1021,34863,1479
17.11.2021,2593848,13163,651533,7448,32,1051,5145,1014,34855,1486
18.11.2021,2600511,13179,652244,6663,16,711,5157,1012,34843,1488
19.11.2021,2608342,13214,653185,7831,35,941,5184,1016,34816,1484
20.11.2021,2615930,13243,654773,7588,29,1588,5233,1036,34767,1464
21.11.2021,2623408,13284,655593,7478,41,820,5276,1041,34724,1459
22.11.2021,2631229,13289,657283,7821,5,1690,5347,1057,34653,1443
23.11.2021,2637461,13298,658447,6232,9,1164,5320,1054,34680,1446
24.11.2021,2644977,13320,659239,7516,22,792,5302,1041,34698,1459
25.11.2021,2651660,13323,660739,6683,3,1500,5235,1035,34765,1465
26.11.2021,2658036,13363,662343,6376,40,1604,5207,1037,34793,1463
27.11.2021,2663823,13407,663097,5787,44,754,5112,1009,34888,1491
28.11.2021,2670301,13440,665158,6478,33,2061,5052,1007,34948,1493
29.11.2021,2677227,13469,666594,6926,29,1436,5081,1017,34919,1483
30.11.2021,2684973,13507,668703,7746,38,2109,5153,1026,34847,1474
01.12.2021,2691317,13519,669895,6344,12,1192,5142,1028,34858,1472
02.12.2021,2698404,13550,670960,7087,31,1065,5160,1027,34840,1473
03.12.2021,2705014,13578,671650,6610,28,690,5167,1033,34833,1467
04.12.2021,2712847,13620,672260,7833,42,610,5214,1043,34786,1457
05.12.2021,2720279,13660,673747,7432,40,1487,5251,1048,34749,1452
06.12.2021,2728669,13689,674402,8390,29,655,5284,1046,34716,1454
07.12.2021,2734382,13712,675932,5713,23,1530,5155,1023,34845,1477
08.12.2021,2740525,13749,676570,6143,37,638,5118,1013,34882,1487
09.12.2021,2748720,13760,677742,8195,11,1172,5164,1030,34836,1470
10.12.2021,2755123,13762,678143,6403,2,401,5155,1030,34845,1470
11.12.2021,2761401,13774,678932,6278,12,789,5092,1009,34908,1491
12.12.2021,2767122,13816,681096,5721,42,2164,5034,996,34966,1504
13.12.2021,2775135,13843,682266,8013,27,1170,5035,1002,34965,1498
14.12.2021,2782627,13844,684326,7492,1,2060,5016,993,34984,1507
15.12.2021,2789935,13877,684928,7308,33,602,5064,999,34936,1501
16.12.2021,2796742,13904,685994,6807,27,1066,5090,1007,34910,1493
17.12.2021,2803303,13942,687505,6561,38,1511,5017,984,34983,1516
18.12.2021,2810043,13977,688158,6740,35,653,4987,983,35013,1517
19.12.2021,2818017,13987,689684,7974,10,1526,5030,987,34970,1513
20.12.2021,2824477,14003,690676,6460,16,992,5051,1000,34949,1500
21.12.2021,2831987,14028,691793,7510,25,1117,5109,1004,34891,1496
22.12.2021,2840187,14065,693554,8200,37,1761,5173,1014,34827,1486
23.12.2021,2847311,14089,694310,7124,24,756,5208,1021,34792,1479
24.12.2021,2854510,14110,696430,7199,21,2120,5241,1026,34759,1474
25.12.2021,2860923,14116,696857,6413,6,427,5192,1024,34808,1476
26.12.2021,2867701,14160,698581,6778,44,1724,5135,1008,34865,1492
27.12.2021,2874791,14209,700077,7090,49,1496,5094,1011,34906,1489
28.12.2021,2882300,14226,700551,7509,17,474,5154,1031,34846,1469
29.12.2021,2889329,14244,702481,7029,18,1930,5165,1038,34835,1462
30.12.2021,2895244,14291,703632,5915,47,1151,5068,1011,34932,1489
31.12.2021,2903404,14314,704449,8160,23,817,5086,1020,34914,1480
01.01.2022,2909624,14341,705375,6220,27,926,5011,1005,34989,1495
02.01.2022,2916720,14344,706174,7096,3,799,5061,1005,34939,1495
03.01.2022,2924299,14355,706979,7579,11,805,5072,998,34928,1502
04.01.2022,2930301,14377,707913,6002,22,934,4981,987,35019,1513
05.01.2022,2938320,14401,709315,8019,24,1402,5004,995,34996,1505
06.01.2022,2945520,14445,709756,7200,44,441,5026,995,34974,1505
07.01.2022,2953539,14474,711526,8019,29,1770,5090,1019,34910,1481
08.01.2022,2959780,14523,712714,6241,49,1188,5085,1014,34915,1486
09.01.2022,2965947,14561,713209,6167,38,495,5067,1003,34933,1497
10.01.2022,2973349,14610,714483,7402,49,1274,5079,1016,34921,1484
11.01.2022,2979910,14613,715250,6561,3,767,5075,1025,34925,1475
12.01.2022,2987521,14615,716497,7611,2,1247,5137,1047,34863,1453
13.01.2022,2995891,14623,716928,8370,8,431,5155,1051,34845,1449
14.01.2022,3002395,14656,717701,6504,33,773,5119,1052,34881,1448
15.01.2022,3009527,14663,718358,7132,7,657,5136,1055,34864,1445
16.01.2022,3016675,14673,719349,7148,10,991,5158,1064,34842,1436
17.01.2022,3023665,14680,720093,6990,7,744,5187,1076,34813,1424
18.01.2022,3029379,14684,720558,5714,4,465,5151,1075,34849,1425
